name,size
java.awt.PageAttributes.MediaType,129202.0
java.awt.PageAttributes.OrientationRequestedType,17524.0
java.awt.PageAttributes.OriginType,17071.0
java.awt.PageAttributes.PrintQualityType,18076.0
java.awt.Paint,17332.0
java.awt.PaintContext,12522.0
java.awt.Panel.AccessibleAWTPanel,26727.0
java.awt.Panel,43590.0
java.awt.Point,30868.0
java.awt.PointerInfo,12496.0
java.awt.Polygon,56497.0
java.awt.PopupMenu.AccessibleAWTPopupMenu,27476.0
java.awt.PopupMenu,26877.0
java.awt.print,
java.awt.print.Book,23031.0
java.awt.print.Pageable,15255.0
java.awt.print.PageFormat,28628.0
java.awt.print.Paper,20361.0
java.awt.print.Printable,17801.0
java.awt.print.PrinterAbortException,13318.0
java.awt.print.PrinterException,13139.0
java.awt.print.PrinterGraphics,9850.0
java.awt.print.PrinterIOException,17056.0
java.awt.print.PrinterJob,55502.0
java.awt.PrintGraphics,8873.0
java.awt.PrintJob,15720.0
java.awt.RadialGradientPaint,55906.0
java.awt.Rectangle,94123.0
java.awt.RenderingHints,120867.0
java.awt.RenderingHints.Key,16862.0
java.awt.Robot,38733.0
java.awt.Scrollbar.AccessibleAWTScrollBar,34781.0
java.awt.Scrollbar,102755.0
java.awt.ScrollPane.AccessibleAWTScrollPane,26806.0
java.awt.ScrollPane,75671.0
java.awt.ScrollPaneAdjustable,38252.0
java.awt.SecondaryLoop,14463.0
java.awt.Shape,39237.0
java.awt.SplashScreen,26568.0
java.awt.Stroke,11304.0
java.awt.SystemColor,68008.0
java.awt.SystemTray,34437.0
java.awt.TextArea.AccessibleAWTTextArea,28132.0
java.awt.TextArea,81318.0
java.awt.TextComponent.AccessibleAWTTextComponent,47356.0
java.awt.TextComponent,77753.0
java.awt.TextField.AccessibleAWTTextField,28167.0
java.awt.TextField,81531.0
java.awt.TexturePaint,21994.0
java.awt.Toolkit,186745.0
java.awt.Transparency,14287.0
java.awt.TrayIcon,57150.0
java.awt.TrayIcon.MessageType,17174.0
java.awt.Window.AccessibleAWTWindow,28455.0
java.awt.Window,220984.0
java.awt.Window.Type,17104.0
java.beans,
java.beans.AppletInitializer,11812.0
java.beans.beancontext,
java.beans.beancontext.BeanContext,27504.0
java.beans.beancontext.BeanContextChild,21027.0
java.beans.beancontext.BeanContextChildComponentProxy,10025.0
java.beans.beancontext.BeanContextChildSupport,45597.0
java.beans.beancontext.BeanContextContainerProxy,9910.0
java.beans.beancontext.BeanContextEvent,19633.0
java.beans.beancontext.BeanContextMembershipEvent,22655.0
java.beans.beancontext.BeanContextMembershipListener,11814.0
java.beans.beancontext.BeanContextProxy,11029.0
java.beans.beancontext.BeanContextServiceAvailableEvent,19694.0
java.beans.beancontext.BeanContextServiceProvider,16649.0
java.beans.beancontext.BeanContextServiceProviderBeanInfo,11977.0
java.beans.beancontext.BeanContextServiceRevokedEvent,21212.0
java.beans.beancontext.BeanContextServiceRevokedListener,11260.0
java.beans.beancontext.BeanContextServices,35038.0
java.beans.beancontext.BeanContextServicesListener,11637.0
java.beans.beancontext.BeanContextServicesSupport.BCSSChild,9525.0
java.beans.beancontext.BeanContextServicesSupport.BCSSProxyServiceProvider,22813.0
java.beans.beancontext.BeanContextServicesSupport.BCSSServiceProvider,13488.0
java.beans.beancontext.BeanContextServicesSupport,93259.0
java.beans.beancontext.BeanContextSupport.BCSChild,9357.0
java.beans.beancontext.BeanContextSupport.BCSIterator,14566.0
java.beans.beancontext.BeanContextSupport,121342.0
java.beans.BeanDescriptor,16348.0
java.beans.BeanInfo,24040.0
java.beans.Beans,29550.0
java.beans.ConstructorProperties,10068.0
java.beans.Customizer,11737.0
java.beans.DefaultPersistenceDelegate,25414.0
java.beans.DesignMode,14459.0
java.beans.Encoder,28436.0
java.beans.EventHandler,45829.0
java.beans.EventSetDescriptor,42956.0
java.beans.ExceptionListener,9185.0
java.beans.Expression,25803.0
java.beans.FeatureDescriptor,27733.0
java.beans.IndexedPropertyChangeEvent,16244.0
java.beans.IndexedPropertyDescriptor,33179.0
java.beans.IntrospectionException,12220.0
java.beans.Introspector,31770.0
java.beans.MethodDescriptor,16628.0
java.beans.ParameterDescriptor,11708.0
java.beans.PersistenceDelegate,24679.0
java.beans.PropertyChangeEvent,20898.0
java.beans.PropertyChangeListener,19676.0
java.beans.PropertyChangeListenerProxy,16205.0
java.beans.PropertyChangeSupport,39550.0
